VIN,Initial_Issue,Support_Note,Final_Note
"1HGCM82633A004352","I don't know where to find a feature in the mobile app","Directed customer to the navigation menu","Customer confirmed feature found"
"1HGCM82633A004353","I don't know how to renew a subscription of a service I bought","Advised customer to check the subscription page","Subscription renewed after guidance"
"1HGCM82633A004354","The feature won't work properly","Suggested reinstalling the app",""
"1HGCM82633A004355","I don't know where to find a feature in the mobile app","","Case escalated to product team"
"1HGCM82633A004356","I don't know how to renew a subscription of a service I bought","Support escalated to billing department","Billing team resolved issue"
"1HGCM82633A004357","","No initial issue provided, but customer reported confusion","Provided generic instructions"
"1HGCM82633A004358","The feature won't work properly","Troubleshooting steps sent to customer","Customer requested follow-up"
"1HGCM82633A004359","I don't know where to find a feature in the mobile app","Directed to FAQ and video tutorial","Issue resolved after tutorial"
"1HGCM82633A004360","","",""
"1HGCM82633A004361","I don't know how to renew a subscription of a service I bought","Referred customer to subscription settings","Customer successfully renewed"
"1HGCM82633A004362","The feature won't work properly","","Escalated to technical team"
"1HGCM82633A004363","I don't know where to find a feature in the mobile app","Provided step-by-step guide",""
"1HGCM82633A004364","","General inquiry received","Follow-up scheduled"
"1HGCM82633A004365","The feature won't work properly","Advised clearing cache","Issue persists, awaiting further action"
"1HGCM82633A004366","I don't know how to renew a subscription of a service I bought","","Case closed with instructions"
"1HGCM82633A004352","모바일 앱에서 기능을 어디서 찾는지 모르겠습니다.","고객에게 메뉴를 안내함.","고객이 기능을 찾았다고 확인함"
"1HGCM82633A004353","구매한 서비스의 구독 갱신 방법을 모르겠습니다.","구독 페이지 확인을 권장함.","구독 갱신이 완료됨"
"1HGCM82633A004354","기능이 제대로 작동하지 않습니다.","앱 재설치를 제안함.",""
"1HGCM82633A004355","모바일 앱에서 기능을 어디서 찾는지 모르겠습니다.","","문제가 제품팀에 에스컬레이션됨"
"1HGCM82633A004356","구매한 서비스의 구독 갱신 방법을 모르겠습니다.","결제 부서에 에스컬레이션함.","결제팀에서 문제 해결"
"1HGCM82633A004357","","초기 이슈 없이 혼란을 보고함.","일반 안내 제공함"
"1HGCM82633A004358","기능이 제대로 작동하지 않습니다.","문제 해결 절차를 안내함.","고객이 후속 조치를 요청함"
"1HGCM82633A004359","모바일 앱에서 기능을 어디서 찾는지 모르겠습니다.","FAQ와 동영상 튜토리얼을 안내함.","튜토리얼 후 문제가 해결됨"
"1HGCM82633A004360","","",""
"1HGCM82633A004361","구매한 서비스의 구독 갱신 방법을 모르겠습니다.","구독 설정 페이지로 안내함.","고객이 성공적으로 갱신함"
"1HGCM82633A004362","기능이 제대로 작동하지 않습니다.","","기술팀에 에스컬레이션됨"
"1HGCM82633A004363","모바일 앱에서 기능을 어디서 찾는지 모르겠습니다.","단계별 안내서를 제공함.",""
"1HGCM82633A004364","","일반 문의 접수됨.","후속 조치 예정"
"1HGCM82633A004365","기능이 제대로 작동하지 않습니다.","캐시 삭제를 권장함.","문제가 지속되어 추가 조치 필요"
"1HGCM82633A004366","구매한 서비스의 구독 갱신 방법을 모르겠습니다.","","지침에 따라 케이스 종료됨"
